scenario,mode,controller,metric,mean,std
dp,CDW,pid,radial_max,22.5971,0.0000
dp,CDW,pid,dc_ex,7.0769,0.0000
dp,CDW,pid,dc_ey,6.0148,0.0000
dp,CDW,pid,std_x,8.2659,0.0000
dp,CDW,pid,std_y,4.6217,0.0000
dp,CDW,pid,depth_std,0.2028,0.0000
dp,CDW,pid,pitch_mean,4.0131,0.0000
dp,CDW,pid,pitch_max,8.2425,0.0000
dp,CDW,pid,IAE,77.8752,0.0000
dp,CDW,pid,IAE_norm,12.6973,0.0000
dp,CDW,pid,settling_time,0.0000,0.0000
dp,CDW,pid,ss_error,12.6973,0.0000
dp,CDW,pid,control_effort,15.2738,0.0000
dp,CDW,pid,slew,12.0956,0.0000
dp,CDW,pid,sat_freq,0.0000,0.0000
dp,CDW,pid,band_dc,0.0000,0.0000
dp,CDW,pid,band_wave,6.5000,0.0000
dp,CDW,pid,band_high,3.3264,0.0000
dp,CDW,pid,est_err_rms,0.0000,0.0000
dp,CDW,pid,w_x,0.0000,0.0000
dp,CDW,pid,w_y,0.0000,0.0000
dp,CDW,pid,n_fail,0.0000,0.0000
dp,CDW,mpc,radial_rms,3.2159,0.0000
dp,CDW,mpc,radial_max,11.1803,0.0000
dp,CDW,mpc,dc_ex,2.4376,0.0000
dp,CDW,mpc,dc_ey,0.6786,0.0000
dp,CDW,mpc,std_x,1.1992,0.0000
dp,CDW,mpc,std_y,1.5817,0.0000
dp,CDW,mpc,depth_std,0.0983,0.0000
dp,CDW,mpc,pitch_mean,7.7128,0.0000
dp,CDW,mpc,pitch_max,10.7818,0.0000
dp,CDW,mpc,IAE,24.4040,0.0000
dp,CDW,mpc,IAE_norm,3.1426,0.0000
dp,CDW,mpc,settling_time,0.7540,0.0000
dp,CDW,mpc,ss_error,3.1426,0.0000
dp,CDW,mpc,control_effort,29.1656,0.0000
dp,CDW,mpc,slew,32.7496,0.0000
dp,CDW,mpc,sat_freq,0.0000,0.0000
dp,CDW,mpc,band_dc,0.0000,0.0000
dp,CDW,mpc,band_wave,0.9544,0.0000
dp,CDW,mpc,band_high,0.4639,0.0000
dp,CDW,mpc,est_err_rms,0.0000,0.0000
dp,CDW,mpc,w_x,0.0000,0.0000
dp,CDW,mpc,w_y,0.0000,0.0000
