scenario,direction_deg,mode,seed,controller,wall,radial_rms,radial_max,dc_ex,dc_ey,dc_radial,std_x,std_y,depth_std,pitch_mean,pitch_max,IAE,IAE_norm,settling_time,ss_error,control_effort,slew,sat_freq,band_dc,band_wave,band_high,est_err_rms,w_x,w_y,n_fail
square,214.8,C,0,pid,5.76,23.238582297572222,37.339656271605875,0.8328620011315735,0.5687516420966462,1.0085323709809817,21.09294173747847,9.700638046904915,0.5069720045400594,-2.4187571748458097,15.216285685666083,2974.486758455795,21.99591148794898,0.0,21.99591148794898,972.0328195667139,482.70022951415615,0.0,5.665138028357556e-16,9.068960017876881,0.3987564090117611,0.0,0.0,0.0,0
square,214.8,C,0,mpc,8.42,3.386264525629813,8.4575126631122,-2.199066733458584,-1.3162231627958558,2.5628768820379437,1.4197866858909391,1.697838417406436,0.07505136282898611,0.009541144157323234,1.946655208320048,413.19586240658987,3.077021837510535,128.01599999988315,3.077021837510535,2703.9727224848502,3472.281303822003,0.0,4.2996329527479037e-16,1.0309483886230708,0.18291442177543635,0.0,0.0,0.0,0
square,214.8,C,0,dobmpc,81.95,2.151529528108995,7.51838357821471,-0.069183121315302,0.27794262079830956,0.28642347098511445,1.395971445986764,1.6119257512625624,0.08014785272783857,0.017865784652474567,2.1643154509989286,154.50785431798676,1.1637898924634142,127.91199999988329,1.1637898924634142,2740.807620816371,3486.5544979732877,0.0,1.994246763567849e-17,1.0443040822964225,0.184635496617498,0.11941179794906076,-1.575306645411188,-1.0710753419854806,0
square,214.8,CD,0,pid,6.1,23.48381417313855,37.83095827725043,0.7663832033691758,0.5452181871919798,0.9405349999076632,21.326952837060485,9.78601066411894,0.5447821687967952,-2.4911980872900377,16.99871949786435,2991.0528870585545,22.159230202573475,0.0,22.159230202573475,988.7033789982087,488.47669619667084,0.0,7.127585654973978e-16,9.06073145294541,0.43215630544097916,0.0,0.0,0.0,0
square,214.8,CD,0,mpc,8.77,3.437922941181073,8.541748761777356,-2.2535994330853333,-1.3483690497233953,2.626177735617776,1.4249711486360621,1.7005769244581175,0.07495488119099598,0.009517922413979845,1.9462035651850957,419.4461210367608,3.132901376342862,128.01599999988315,3.132901376342862,2718.350829426641,3483.7069237801807,0.0,1.3636585508285706e-16,1.0293343887912023,0.18264070318952255,0.0,0.0,0.0,0
square,214.8,CD,0,dobmpc,94.3,2.152769757720133,7.521786536160834,-0.07024154433547142,0.28083185534592203,0.2894829969577918,1.396359505904479,1.6126987798398478,0.08004233939757016,0.017477039168059847,2.176729316173783,154.77929167717846,1.1659883880491833,127.91199999988329,1.1659883880491833,2755.856085439239,3695.6110915971867,0.0,9.601928861622976e-18,1.0448094050213637,0.1846304431569742,0.1310635613700658,-1.6155269266195458,-1.0949656998871133,0
square,214.8,CW,0,pid,9.75,42.50340060552386,87.45366948789646,0.11250189594362299,0.5191004807578803,0.5311515656702634,40.6226098613208,12.492418064684422,3.0670899785094243,-0.08845694011725025,26.623918291188854,5081.991154592789,37.104945677547,0.0,37.104945677547,1549.1506051575045,741.843096041473,0.0,2.8362620637409406e-16,36.81816439829771,0.3000745917208007,0.0,0.0,0.0,0
square,214.8,CW,0,mpc,17.11,9.268691159237965,33.56701960650334,-4.166452559776087,-1.7115572012665468,4.504304051246106,7.715743275439907,2.467222431554922,1.4637748883670971,-0.6352256184379123,53.73222006303636,938.2758640387351,7.121016656120959,0.0,7.121016656120959,8164.599799550637,7926.51654875685,0.0,5.901493200335968e-16,7.396594679924237,0.1885295270384245,0.0,0.0,0.0,1
square,214.8,CW,0,dobmpc,81.09,2.958972076900608,16.892642234483905,-0.299310163690635,0.4237107439829694,0.5187652346245999,2.0087092964613498,2.1098543422549647,1.4586670461690578,-0.27173426370612014,29.74751511428064,232.114148315235,1.7198425130811146,128.0659999998834,1.7198425130811146,5933.002000894176,5918.7623099584425,0.0,2.0681077548111022e-17,1.5974965860692076,0.19334183561440887,0.2397966047191147,-2.4085259645350066,-1.0894902734946168,0
square,214.8,CDW,0,pid,10.14,42.428221658643515,87.72152273427429,0.3020919749607513,0.49382468094543547,0.5788975529802733,40.5723443769747,12.397731344657771,3.1099026329978514,-0.005747343025692041,26.813012887320514,5071.623810187287,37.06129496529022,0.0,37.06129496529022,1564.7871839750555,743.0343546203819,0.0,1.329497842378566e-16,36.80626928133373,0.26602185469908307,0.0,0.0,0.0,0
